date,month,transaction_amount,customer_age,customer_type,risk_score,num_past_defaults,transaction_frequency,region,default_label,drift_injected
2024-01-18,1,57450.71,61,SME,0.284,0,24,South,0,none
2024-01-13,1,47926.04,32,SME,0.3184,0,14,South,0,none
2024-01-19,1,59715.33,24,Retail,0.0773,0,6,North,0,none
2024-01-05,1,72845.45,27,Retail,0.1539,1,10,West,0,none
2024-01-20,1,46487.7,30,Corporate,0.4837,2,8,North,0,none
2024-01-02,1,46487.95,27,Retail,0.3173,1,17,West,0,none
2024-01-11,1,73688.19,30,Retail,0.376,1,25,West,1,none
2024-01-26,1,61511.52,60,Corporate,0.6847,0,29,South,0,none
2024-01-18,1,42957.88,52,Corporate,0.1874,2,12,West,0,none
2024-01-06,1,58138.4,53,SME,0.6875,0,17,North,0,none
2024-01-23,1,43048.73,62,Retail,0.0462,0,13,North,0,none
2024-01-28,1,43014.05,33,Retail,0.3759,0,19,South,1,none
2024-01-10,1,53629.43,29,Corporate,0.4823,2,12,East,1,none
2024-01-22,1,21300.8,29,Corporate,0.5003,0,16,North,0,none
2024-01-23,1,24126.23,49,Corporate,0.4111,0,25,West,0,none
2024-01-17,1,41565.69,41,Corporate,0.2752,0,27,North,0,none
2024-01-22,1,34807.53,28,Retail,0.4904,0,5,North,0,none
2024-01-11,1,54713.71,32,SME,0.3699,0,25,North,1,none
2024-01-19,1,36379.64,41,Retail,0.2742,0,16,East,1,none
2024-01-17,1,28815.44,37,Retail,0.1775,0,25,West,0,none
2024-01-24,1,71984.73,25,Corporate,0.3387,0,6,South,0,none
2024-01-04,1,46613.36,27,Retail,0.1633,0,11,North,0,none
2024-01-26,1,51012.92,43,Retail,0.1213,0,17,West,0,none
2024-01-24,1,28628.78,47,SME,0.123,0,26,West,0,none
2024-01-26,1,41834.26,24,Retail,0.4387,0,23,South,1,none
2024-01-14,1,51663.84,62,Corporate,0.443,2,14,North,0,none
2024-01-27,1,32735.1,63,Retail,0.6958,1,6,East,1,none
2024-01-20,1,55635.47,35,Corporate,0.6435,0,25,West,0,none
2024-01-04,1,40990.42,32,Retail,0.4856,0,23,South,0,none
2024-01-28,1,45624.59,39,Retail,0.5381,2,28,East,1,none
2024-01-14,1,40974.4,33,SME,0.4766,0,11,West,0,none
2024-01-26,1,77784.17,44,Corporate,0.331,0,12,North,0,none
2024-01-04,1,49797.54,33,Retail,0.7772,1,13,West,1,none
2024-01-06,1,34134.34,34,Retail,0.1557,0,4,East,0,none
2024-01-09,1,62338.17,46,SME,0.0491,0,7,East,0,none
2024-01-21,1,31687.35,40,Corporate,0.3926,0,2,North,1,none
2024-01-12,1,53132.95,57,Corporate,0.602,1,6,North,0,none
2024-01-26,1,20604.95,29,Corporate,0.4266,1,6,South,1,none
2024-01-08,1,30077.21,50,Retail,0.4185,1,18,North,0,none
2024-01-24,1,52952.92,53,Retail,0.5468,0,20,South,0,none
2024-01-04,1,61077.0,39,Corporate,0.1927,0,8,East,0,none
2024-01-27,1,52570.52,27,Retail,0.0278,0,8,East,0,none
2024-01-26,1,48265.28,39,Retail,0.2658,0,29,West,0,none
2024-01-25,1,45483.44,40,SME,0.1714,1,8,West,0,none
2024-01-25,1,27822.17,43,Corporate,0.5422,1,8,South,0,none
2024-01-05,1,39202.34,58,Corporate,0.5483,0,1,North,1,none
2024-01-06,1,43090.42,53,Corporate,0.549,0,2,North,0,none
2024-01-05,1,65856.83,62,Corporate,0.4395,0,12,West,0,none
2024-01-19,1,55154.27,24,Retail,0.1365,0,15,East,0,none
2024-01-27,1,23554.4,49,Retail,0.2314,1,4,South,1,none
2024-01-08,1,54861.26,31,Retail,0.3547,1,28,East,1,none
2024-01-09,1,44223.77,56,Retail,0.385,0,25,East,0,none
2024-01-15,1,39846.17,50,Corporate,0.1972,2,3,North,1,none
2024-01-04,1,59175.14,36,Retail,0.2988,1,14,South,0,none
2024-01-25,1,65464.99,54,Retail,0.1985,0,22,East,0,none
2024-01-09,1,63969.2,28,Retail,0.1835,0,23,West,0,none
2024-01-07,1,37411.74,33,Retail,0.2161,1,8,West,0,none
2024-01-08,1,45361.81,51,Retail,0.0944,0,13,North,0,none
2024-01-15,1,54968.95,42,Retail,0.3147,0,23,West,0,none
2024-01-19,1,64633.18,52,Retail,0.1635,0,19,West,0,none
2024-01-15,1,42812.39,45,Retail,0.0819,0,22,East,0,none
2024-01-05,1,47215.12,41,Retail,0.3742,0,5,West,0,none
2024-01-19,1,33404.98,58,Corporate,0.142,0,13,West,1,none
2024-01-07,1,32056.9,25,Retail,0.0307,0,28,East,0,none
2024-01-06,1,62187.89,49,Retail,0.6072,0,26,North,1,none
2024-01-27,1,70343.6,41,Corporate,0.4766,0,20,North,0,none
2024-01-19,1,48919.85,45,Retail,0.2264,0,1,South,1,none
2024-01-25,1,65052.99,53,SME,0.0467,0,16,West,0,none
2024-01-28,1,55424.54,62,Corporate,0.4714,1,29,East,1,none
2024-01-17,1,40323.2,57,Retail,0.0866,0,23,South,0,none
2024-01-10,1,55420.93,55,Corporate,0.3896,0,24,North,0,none
2024-01-19,1,73070.55,57,Retail,0.1955,2,2,North,1,none
2024-01-11,1,49462.61,23,Corporate,0.0179,0,7,East,0,none
2024-01-15,1,73469.65,36,Retail,0.5874,0,6,South,1,none
2024-01-10,1,10703.82,55,SME,0.0508,0,5,South,0,none
2024-01-11,1,62328.54,57,Retail,0.075,0,29,East,0,none
2024-01-23,1,51305.71,27,Corporate,0.2811,0,4,East,1,none
2024-01-03,1,45514.89,60,Corporate,0.3908,1,2,South,0,none
2024-01-03,1,51376.41,63,Retail,0.0519,0,10,North,0,none
2024-01-18,1,20186.47,33,Retail,0.3106,0,22,West,0,none
2024-01-25,1,46704.92,24,Corporate,0.1104,0,5,North,0,none
2024-01-11,1,55356.69,39,SME,0.1436,0,18,East,0,none
2024-01-20,1,72168.41,61,Retail,0.1218,0,10,South,0,none
2024-01-26,1,42225.95,42,Corporate,0.5598,0,23,South,0,none
2024-01-22,1,37872.6,36,SME,0.6623,0,22,West,1,none
2024-01-18,1,42473.64,54,SME,0.0431,0,28,South,0,none
2024-01-25,1,63731.03,56,Retail,0.2409,0,15,West,0,none
2024-01-15,1,54931.27,47,Corporate,0.3944,0,27,North,0,none
2024-01-07,1,42053.6,29,Retail,0.0858,0,9,North,0,none
2024-01-10,1,57699.01,57,SME,0.2077,0,11,South,1,none
2024-01-21,1,51456.16,51,Retail,0.4477,0,26,South,1,none
2024-01-23,1,64529.67,44,Retail,0.1777,0,21,East,0,none
